player_yaw,player_pitch,target_dist,ideal_yaw,ideal_pitch,yaw_error,pitch_error,on_ground,out_w,out_a,out_s,out_d,out_sprint,out_left_click,out_right_click
-45.13,-11.21,4.014,-40.59,-14.03,4.54,-2.82,1,1,1,0,0,0,0,0
-41.22,-12.23,3.861,-36.94,-13.01,4.29,-0.78,1,1,1,0,0,0,1,0
-36.19,-10.9,3.691,-33.23,-12.18,2.96,-1.29,1,1,1,0,0,0,0,0
-30.84,-9.56,3.461,-29.1,-11.64,1.74,-2.08,1,1,1,0,0,0,1,0
-22.41,-9.56,3.202,-24.35,-11.63,-1.94,-2.07,1,1,1,0,0,0,0,0
-18.81,-9.46,2.94,-19.86,-12.02,-1.05,-2.56,1,1,1,0,0,0,1,0
-15.83,-9.05,2.971,-18.71,-4.81,-2.88,4.24,0,1,1,0,0,0,0,0
-15.62,-6.17,2.826,-17.09,0.16,-1.47,6.33,0,1,1,0,0,0,1,0
-15.62,-6.17,2.661,-15.07,3.7,0.56,9.86,0,1,1,0,0,0,0,0
-17.37,-4.52,2.455,-13.77,6.05,3.61,10.58,0,1,0,0,1,0,0,0
-19.53,-4.73,2.578,-14.28,3.31,5.25,8.04,0,0,0,0,1,0,0,0
-21.48,-3.6,2.884,-15.62,-1.82,5.86,1.78,0,1,0,0,1,0,0,0
-19.02,-6.27,3.142,-18.12,-7.85,0.9,-1.58,0,1,0,0,1,0,1,0
-18.09,-7.4,3.387,-21.37,-14.14,-3.28,-6.74,0,1,0,0,1,0,0,0
-19.33,-11.31,3.618,-24.09,-19.87,-4.76,-8.56,1,0,0,0,1,0,1,0
-22.51,-13.78,3.759,-28.18,-20.68,-5.67,-6.9,1,0,0,0,1,0,0,0
-24.36,-15.52,3.692,-32.07,-20.36,-7.7,-4.83,1,1,0,0,1,0,1,0
-29.2,-16.04,3.551,-36.15,-19.39,-6.96,-3.35,1,1,0,0,1,0,0,0
-37.93,-15.94,3.358,-40.62,-17.29,-2.69,-1.36,1,1,0,0,1,0,1,0
-44.51,-15.32,3.168,-45.38,-15.9,-0.86,-0.58,1,1,0,0,1,0,0,0
-50.58,-13.47,2.968,-49.53,-15.07,1.05,-1.6,1,1,0,0,1,0,1,0
-51.2,-12.95,2.723,-54.78,-15.11,-3.58,-2.16,1,1,0,0,1,0,0,0
-53.66,-8.33,2.622,-57.33,-7.04,-3.67,1.28,0,1,0,0,1,0,0,0
-54.49,-7.09,2.469,-59.99,-1.12,-5.51,5.97,0,1,0,0,1,0,0,0
